index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
0, 2022/03/24 18:46:39.230, 94.53 W, 1818 MHz, 3802 MHz, 1818 MHz
0, 2022/03/24 18:46:49.240, 134.30 W, 1821 MHz, 3802 MHz, 1821 MHz
0, 2022/03/24 18:46:59.253, 121.54 W, 1823 MHz, 3802 MHz, 1823 MHz
0, 2022/03/24 18:47:09.263, 117.69 W, 1816 MHz, 3802 MHz, 1816 MHz
0, 2022/03/24 18:47:19.280, 131.84 W, 1821 MHz, 3802 MHz, 1821 MHz
0, 2022/03/24 18:47:29.299, 118.27 W, 1823 MHz, 3802 MHz, 1823 MHz
0, 2022/03/24 18:47:39.312, 134.02 W, 1825 MHz, 3802 MHz, 1825 MHz
0, 2022/03/24 18:47:49.324, 131.74 W, 1823 MHz, 3802 MHz, 1823 MHz
0, 2022/03/24 18:47:59.338, 129.26 W, 1809 MHz, 3802 MHz, 1809 MHz
0, 2022/03/24 18:48:09.360, 125.67 W, 1824 MHz, 3802 MHz, 1824 MHz
0, 2022/03/24 18:48:19.367, 120.49 W, 1821 MHz, 3802 MHz, 1821 MHz
0, 2022/03/24 18:48:29.384, 71.93 W, 1839 MHz, 3802 MHz, 1839 MHz
0, 2022/03/24 18:48:39.400, 128.30 W, 1820 MHz, 3802 MHz, 1820 MHz
0, 2022/03/24 18:48:49.409, 119.39 W, 1832 MHz, 3802 MHz, 1832 MHz
0, 2022/03/24 18:48:59.429, 133.97 W, 1821 MHz, 3802 MHz, 1821 MHz
0, 2022/03/24 18:49:09.439, 131.01 W, 1838 MHz, 3802 MHz, 1838 MHz
0, 2022/03/24 18:49:19.454, 136.29 W, 1814 MHz, 3802 MHz, 1814 MHz
0, 2022/03/24 18:49:29.468, 137.46 W, 1824 MHz, 3802 MHz, 1824 MHz
0, 2022/03/24 18:49:39.482, 132.53 W, 1824 MHz, 3802 MHz, 1824 MHz
0, 2022/03/24 18:49:49.497, 116.49 W, 1820 MHz, 3802 MHz, 1820 MHz
0, 2022/03/24 18:49:59.512, 134.16 W, 1817 MHz, 3802 MHz, 1817 MHz
0, 2022/03/24 18:50:09.519, 134.14 W, 1822 MHz, 3802 MHz, 1822 MHz
0, 2022/03/24 18:50:19.533, 128.59 W, 1812 MHz, 3802 MHz, 1812 MHz
0, 2022/03/24 18:50:29.552, 77.77 W, 1806 MHz, 3802 MHz, 1806 MHz
0, 2022/03/24 18:50:39.565, 125.56 W, 1821 MHz, 3802 MHz, 1821 MHz
0, 2022/03/24 18:50:49.577, 114.12 W, 1809 MHz, 3802 MHz, 1809 MHz
0, 2022/03/24 18:50:59.582, 130.41 W, 1823 MHz, 3802 MHz, 1823 MHz
0, 2022/03/24 18:51:09.600, 108.91 W, 1813 MHz, 3802 MHz, 1813 MHz
0, 2022/03/24 18:51:19.611, 121.96 W, 1809 MHz, 3802 MHz, 1809 MHz
0, 2022/03/24 18:51:29.624, 140.93 W, 1819 MHz, 3802 MHz, 1819 MHz
0, 2022/03/24 18:51:39.642, 126.11 W, 1807 MHz, 3802 MHz, 1807 MHz
0, 2022/03/24 18:51:49.652, 120.42 W, 1815 MHz, 3802 MHz, 1815 MHz
0, 2022/03/24 18:51:59.670, 140.68 W, 1813 MHz, 3802 MHz, 1813 MHz
0, 2022/03/24 18:52:09.687, 132.23 W, 1811 MHz, 3802 MHz, 1811 MHz
0, 2022/03/24 18:52:19.703, 109.04 W, 1817 MHz, 3802 MHz, 1817 MHz
0, 2022/03/24 18:52:29.717, 133.49 W, 1814 MHz, 3802 MHz, 1814 MHz
0, 2022/03/24 18:52:39.725, 122.04 W, 1811 MHz, 3802 MHz, 1811 MHz
0, 2022/03/24 18:52:49.739, 123.39 W, 1816 MHz, 3802 MHz, 1816 MHz
0, 2022/03/24 18:52:59.749, 128.98 W, 1817 MHz, 3802 MHz, 1817 MHz
0, 2022/03/24 18:53:09.766, 138.31 W, 1821 MHz, 3802 MHz, 1821 MHz
0, 2022/03/24 18:53:19.774, 129.63 W, 1811 MHz, 3802 MHz, 1811 MHz
0, 2022/03/24 18:53:29.779, 114.69 W, 1815 MHz, 3802 MHz, 1815 MHz
0, 2022/03/24 18:53:39.786, 125.11 W, 1814 MHz, 3802 MHz, 1814 MHz
0, 2022/03/24 18:53:49.803, 134.62 W, 1815 MHz, 3802 MHz, 1815 MHz
0, 2022/03/24 18:53:59.814, 141.30 W, 1812 MHz, 3802 MHz, 1812 MHz
0, 2022/03/24 18:54:09.820, 33.69 W, 1694 MHz, 3802 MHz, 1694 MHz
0, 2022/03/24 18:54:19.834, 10.95 W, 93 MHz, 405 MHz, 93 MHz
0, 2022/03/24 18:54:29.854, 10.61 W, 93 MHz, 405 MHz, 93 MHz
0, 2022/03/24 18:54:39.861, 11.91 W, 94 MHz, 405 MHz, 94 MHz
0, 2022/03/24 18:54:49.880, 9.78 W, 117 MHz, 405 MHz, 117 MHz
0, 2022/03/24 18:54:59.895, 9.44 W, 87 MHz, 405 MHz, 87 MHz
0, 2022/03/24 18:55:09.904, 9.34 W, 88 MHz, 405 MHz, 88 MHz
0, 2022/03/24 18:55:19.913, 9.78 W, 161 MHz, 405 MHz, 161 MHz
0, 2022/03/24 18:55:29.925, 9.73 W, 161 MHz, 405 MHz, 161 MHz
0, 2022/03/24 18:55:39.937, 8.85 W, 96 MHz, 405 MHz, 96 MHz
